Key,ExitTime,Symbol,EntryPrice,Quantity,Pnl,Date
2020-09-08 14:30:00,2020-09-08 15:14:00,BANKNIFTY10SEP2022800CE,284.55,-25,955.0000000000005,2020-09-08
2020-09-08 09:21:00,2020-09-08 10:32:00,NIFTY10SEP2011400PE,106.45,-75,2508.75,2020-09-08
2020-09-08 09:21:00,2020-09-08 12:45:00,BANKNIFTY10SEP2022900PE,316.05,-25,3248.7500000000005,2020-09-08
2020-09-09 09:51:00,2020-09-09 14:43:00,NIFTY10SEP2011200CE,93.15,-75,-750.0,2020-09-09
2020-09-09 09:29:00,2020-09-09 11:15:00,BANKNIFTY10SEP2022400CE,265.75,-25,2972.5,2020-09-09
2020-09-09 09:24:00,2020-09-09 09:53:00,NIFTY10SEP2011300PE,88.45,-75,-719.9999999999995,2020-09-09
2020-09-09 10:14:00,2020-09-09 10:18:00,NIFTY10SEP2011250PE,65.4,-75,-277.49999999999915,2020-09-09
2020-09-09 10:31:00,2020-09-09 11:44:00,NIFTY10SEP2011300PE,93.55,-75,-592.5000000000005,2020-09-09
2020-09-09 12:23:00,2020-09-09 14:43:00,NIFTY10SEP2011200PE,49.25,-75,2268.75,2020-09-09
2020-09-09 10:37:00,2020-09-09 11:43:00,BANKNIFTY10SEP2022400PE,242.2,-25,-792.4999999999998,2020-09-09
2020-09-09 11:57:00,2020-09-09 12:01:00,BANKNIFTY10SEP2022300PE,208.95,-25,-515.0000000000006,2020-09-09
2020-09-09 12:30:00,2020-09-09 12:58:00,BANKNIFTY10SEP2022300PE,213.5,-25,-386.2499999999997,2020-09-09
2020-09-10 09:47:00,2020-09-10 10:42:00,BANKNIFTY10SEP2022400CE,131.2,-25,-465.00000000000057,2020-09-10
2020-09-10 11:21:00,2020-09-10 11:32:00,BANKNIFTY10SEP2022500CE,128.95,-25,-445.0000000000003,2020-09-10
2020-09-10 11:56:00,2020-09-10 12:29:00,BANKNIFTY10SEP2022700CE,40.6,-25,522.5,2020-09-10
2020-09-10 09:22:00,2020-09-10 11:10:00,NIFTY10SEP2011400PE,65.4,-75,3142.5000000000005,2020-09-10
2020-09-10 09:20:00,2020-09-10 09:58:00,BANKNIFTY10SEP2022600PE,173.95,-25,-570.0000000000002,2020-09-10
